"date","value","avg1","avg5","avg10"
1966-04-15,120,105.666666666667,100.533333333333,98.2583333333333
1966-05-15,151,106.583333333333,100.133333333333,98.4583333333333
1966-06-15,183,106,100.533333333333,98.3
1966-07-15,189,108.666666666667,101.05,98.4583333333333
1966-08-15,185,105.333333333333,100.85,98.6333333333333
1966-09-15,156,106.75,101.1,98.3083333333333
1966-10-15,136,105.166666666667,100.916666666667,98.175
1966-11-15,37,105.083333333333,101.35,98.2166666666667
1966-12-15,23,104.75,100.85,98.65
1967-01-15,-2,106.833333333333,100.75,98.3833333333333
1967-02-15,30,107.666666666667,100.716666666667,98.575
1967-03-15,73,108.416666666667,100.75,99.0666666666667
1967-04-15,101,107.333333333333,101.166666666667,98.9166666666667
1967-05-15,150,108,101.316666666667,99.0666666666667
1967-06-15,179,107.166666666667,100.783333333333,99.2666666666667
1967-07-15,214,106.333333333333,100.333333333333,99.425
1967-08-15,195,105.833333333333,100.783333333333,99.25
1967-09-15,165,105.333333333333,100.716666666667,99.1333333333333
1967-10-15,123,106.916666666667,100.766666666667,98.9416666666667
1967-11-15,45,107,100.75,99.1166666666667
1967-12-15,13,107.916666666667,100.966666666667,99.45
1968-01-15,-12,106.666666666667,101.1,99.9416666666667
1968-02-15,24,105.833333333333,101.45,100.516666666667
1968-03-15,67,105.083333333333,101.4,100.75
1968-04-15,120,103.833333333333,101.55,100.533333333333
1968-05-15,151,104.916666666667,102.35,100.608333333333
1968-06-15,190,102.166666666667,102.016666666667,100.541666666667
1968-07-15,199,101.666666666667,102.283333333333,100.45
1968-08-15,185,99.25,101.633333333333,100.508333333333
1968-09-15,156,95.9166666666667,101.166666666667,100.525
1968-10-15,108,94.75,101.033333333333,100.45
1968-11-15,58,96.75,101.183333333333,100.116666666667
1968-12-15,-20,95.4166666666667,101,100.591666666667
1969-01-15,-18,95.75,101.266666666667,101.2
1969-02-15,-5,95.75,101.816666666667,101.575
1969-03-15,27,96.25,101.616666666667,102.183333333333
1969-04-15,106,97.0833333333333,101.083333333333,102.091666666667
1969-05-15,175,98.3333333333333,101.316666666667,102.033333333333
1969-06-15,174,97,101.633333333333,101.725
1969-07-15,203,96.8333333333333,101.333333333333,101.6
1969-08-15,185,97.75,101.35,101.85
1969-09-15,162,98.8333333333333,101.483333333333,101.85
1969-10-15,118,98,101.483333333333,101.7
1969-11-15,73,94.5833333333333,101.466666666667,101.575
1969-12-15,-36,96,101.633333333333,102.041666666667
1970-01-15,-20,95.4166666666667,101.466666666667,102.308333333333
1970-02-15,6,96.25,101.366666666667,102.633333333333
1970-03-15,40,95.6666666666667,100.883333333333,102.833333333333
1970-04-15,96,93.8333333333333,100.216666666667,102.891666666667
1970-05-15,134,93.9166666666667,100.466666666667,103.133333333333
1970-06-15,191,97.75,100.366666666667,103.108333333333
1970-07-15,196,97.9166666666667,100.566666666667,103.241666666667
1970-08-15,195,100,100.583333333333,103.458333333333
1970-09-15,155,99,100.483333333333,103.675
1970-10-15,96,100.333333333333,99.95,103.791666666667
1970-11-15,74,102.5,100.066666666667,103.891666666667
1970-12-15,10,100.916666666667,99.9166666666667,103.758333333333
1971-01-15,-18,101.666666666667,100,104.233333333333
1971-02-15,31,103.583333333333,100.366666666667,103.7
1971-03-15,28,102.666666666667,100.6,103.516666666667
1971-04-15,112,103.333333333333,100.366666666667,103.433333333333
1971-05-15,160,101.416666666667,100.1,103.425
1971-06-15,172,104.083333333333,100.65,103.491666666667
1971-07-15,205,103.916666666667,101.35,103.691666666667
1971-08-15,218,103.916666666667,102.3,103.625
1971-09-15,144,108.333333333333,103.266666666667,103.525
1971-10-15,104,107.416666666667,103.266666666667,103.333333333333
1971-11-15,51,106.5,102.716666666667,103.591666666667
1971-12-15,42,107.916666666667,102.6,103.466666666667
1972-01-15,-20,107.833333333333,102.45,103.516666666667
1972-02-15,31,105.416666666667,102.983333333333,103.6
1972-03-15,81,104.75,102.95,103.791666666667
1972-04-15,101,103,102.233333333333,103.75
1972-05-15,149,103.75,101.833333333333,103.783333333333
1972-06-15,189,100.833333333333,103.3,103.916666666667
1972-07-15,204,102.5,104.283333333333,103.8
1972-08-15,189,102,104.483333333333,103.733333333333
1972-09-15,136,100.333333333333,104.95,103.55
1972-10-15,83,99.25,105.016666666667,103.491666666667
1972-11-15,60,100,105.516666666667,103.7
1972-12-15,7,99.3333333333333,105.25,103.616666666667
1973-01-15,0,99.3333333333333,105.383333333333,103.816666666667
1973-02-15,25,100.833333333333,105.466666666667,103.591666666667
1973-03-15,61,103.666666666667,105.95,103.658333333333
1973-04-15,88,104.583333333333,106.033333333333,103.441666666667
1973-05-15,158,103.083333333333,105.433333333333,103.325
1973-06-15,181,103.583333333333,105.5,103.191666666667
1973-07-15,204,105.583333333333,106.183333333333,103.075
1973-08-15,207,107.833333333333,105.766666666667,103.083333333333
1973-09-15,170,109.833333333333,105.866666666667,103.075
1973-10-15,94,111.333333333333,105.833333333333,103.091666666667
1973-11-15,42,110,105.666666666667,102.841666666667
1973-12-15,13,108.833333333333,105.983333333333,103.116666666667
1974-01-15,24,108,106.116666666667,103.016666666667
1974-02-15,52,108.833333333333,105.433333333333,103.191666666667
1974-03-15,85,108,105.433333333333,103.55
1974-04-15,106,106.416666666667,105.583333333333,103.425
1974-05-15,142,107,105.866666666667,103.266666666667
1974-06-15,167,110.25,105.3,103.5
1974-07-15,194,111.5,105.7,103.308333333333
1974-08-15,217,108.666666666667,105.85,103.35
1974-09-15,160,107.25,106.1,103.316666666667
1974-10-15,75,106.75,106.016666666667,103.075
1974-11-15,49,108.583333333333,106.1,102.908333333333
1974-12-15,52,109.25,106.2,103.633333333333
1975-01-15,39,110.083333333333,106.133333333333,103.558333333333
1975-02-15,18,108.666666666667,106.1,103.766666666667
1975-03-15,68,110.666666666667,106.216666666667,103.833333333333
1975-04-15,100,112.833333333333,106.766666666667,103.675
1975-05-15,164,111.916666666667,106.933333333333,103.616666666667
1975-06-15,175,108.75,106.866666666667,103.516666666667
1975-07-15,204,107.416666666667,107.066666666667,103.458333333333
1975-08-15,200,106.416666666667,106.6,103.475
1975-09-15,184,103.583333333333,106.833333333333,103.458333333333
1975-10-15,101,104.416666666667,106.933333333333,103.508333333333
1975-11-15,38,103.25,106.583333333333,103.208333333333
1975-12-15,14,104.583333333333,106.466666666667,103.258333333333
1976-01-15,23,105.333333333333,106.15,103.375
1976-02-15,6,103.416666666667,105.8,103.308333333333
1976-03-15,34,100.083333333333,105.55,103.841666666667
1976-04-15,110,101.083333333333,105.816666666667,103.766666666667
1976-05-15,150,103.583333333333,105.583333333333,103.716666666667
1976-06-15,191,103.083333333333,105.583333333333,103.9
1976-07-15,213,101.5,104.683333333333,103.841666666667
1976-08-15,177,104.333333333333,104.083333333333,103.716666666667
1976-09-15,144,109.5,103.833333333333,103.866666666667
1976-10-15,113,108.333333333333,103.583333333333,103.925
1976-11-15,68,108.666666666667,103.816666666667,103.991666666667
1976-12-15,8,109,104.4,103.641666666667
1977-01-15,4,107.916666666667,104.166666666667,103.566666666667
1977-02-15,40,108.75,103.716666666667,103.25
1977-03-15,96,108.666666666667,103.683333333333,103.15
1977-04-15,96,108.916666666667,103.916666666667,103.041666666667
1977-05-15,154,109.083333333333,103.983333333333,103.083333333333
1977-06-15,195,108.666666666667,103.966666666667,103.108333333333
1977-07-15,200,109.333333333333,102.833333333333,103.15
1977-08-15,187,105.75,103.05,103.283333333333
1977-09-15,143,104,102.716666666667,103.708333333333
1977-10-15,116,103.833333333333,102.333333333333,103.95
1977-11-15,70,102.416666666667,101.716666666667,103.941666666667
1977-12-15,3,100.666666666667,101.783333333333,104.133333333333
1978-01-15,12,99.4166666666667,101.533333333333,104.583333333333
1978-02-15,-3,99.3333333333333,101.483333333333,104.341666666667
1978-03-15,75,100.333333333333,100.966666666667,104.45
1978-04-15,94,99.8333333333333,100.983333333333,104.75
1978-05-15,137,96.3333333333333,100.983333333333,104.783333333333
1978-06-15,174,97.1666666666667,101.016666666667,104.808333333333
1978-07-15,185,93.6666666666667,100.566666666667,105.066666666667
1978-08-15,186,95.25,100.85,105.1
1978-09-15,155,94.8333333333333,101.816666666667,105.075
1978-10-15,110,94.5833333333333,101.7,105.25
1978-11-15,28,96.1666666666667,101.766666666667,105.2
1978-12-15,13,98.5,101.816666666667,105.208333333333
1979-01-15,-30,98.0833333333333,101.566666666667,105.166666666667
1979-02-15,16,98.4166666666667,102,104.808333333333
1979-03-15,70,98.6666666666667,102.3,104.5
1979-04-15,91,96.9166666666667,102.266666666667,104.425
1979-05-15,156,99,102.116666666667,104.408333333333
1979-06-15,202,102.166666666667,101.983333333333,104.466666666667
1979-07-15,180,102.25,101.433333333333,104.383333333333
1979-08-15,190,103.5,100.65,104.183333333333
1979-09-15,158,101.666666666667,100.2,104.125
1979-10-15,89,100.5,100.066666666667,104.466666666667
1979-11-15,53,98.0833333333333,100.066666666667,104.566666666667
1979-12-15,51,96.1666666666667,100.016666666667,104.2
1980-01-15,-29,96.9166666666667,100.166666666667,103.441666666667
1980-02-15,31,97.5,100.466666666667,103.125
1980-03-15,48,97.0833333333333,101.2,102.925
1980-04-15,77,98.1666666666667,101.133333333333,103.016666666667
1980-05-15,127,96.9166666666667,100.95,103.016666666667
1980-06-15,179,94,101.4,102.95
1980-07-15,189,96.0833333333333,102.1,103
1980-08-15,197,95.4166666666667,102.083333333333,103.016666666667
1980-09-15,153,99.0833333333333,102.066666666667,102.883333333333
1980-10-15,102,101.25,102.566666666667,102.916666666667
1980-11-15,38,103.5,102.983333333333,102.816666666667
1980-12-15,16,104.75,103.15,103.033333333333
1981-01-15,-4,105.5,103.983333333333,102.933333333333
1981-02-15,23,106,104.4,102.5
1981-03-15,92,106.75,104.6,102.558333333333
1981-04-15,103,107.5,104.683333333333,102.65
1981-05-15,154,109.25,104.816666666667,102.858333333333
1981-06-15,194,107.916666666667,104.833333333333,102.8
1981-07-15,198,105.833333333333,105.65,102.683333333333
1981-08-15,203,103.333333333333,105.533333333333,102.933333333333
1981-09-15,162,101.416666666667,105.166666666667,103.05
1981-10-15,111,100.166666666667,105.266666666667,103.041666666667
1981-11-15,59,100.166666666667,105,102.958333333333
1981-12-15,0,100,104.533333333333,102.966666666667
1982-01-15,-29,100.916666666667,104.6,102.591666666667
1982-02-15,-7,101.083333333333,104.65,102.316666666667
1982-03-15,69,103.166666666667,104.566666666667,101.591666666667
1982-04-15,88,103.25,105.016666666667,101.725
1982-05-15,154,103.25,105.15,101.575
1982-06-15,192,105.75,104.433333333333,101.458333333333
1982-07-15,209,112.666666666667,104.05,101.558333333333
1982-08-15,205,112.916666666667,103.2,101.55
1982-09-15,187,113.333333333333,103.133333333333,101.9
1982-10-15,112,116.333333333333,103.7,101.883333333333
1982-11-15,59,117,104.316666666667,101.783333333333
1982-12-15,30,116.333333333333,104.116666666667,102.016666666667
1983-01-15,54,118.5,104.466666666667,102.2
1983-02-15,-4,119,104.55,102.55
1983-03-15,74,117.333333333333,104.8,102.316666666667
1983-04-15,124,117.583333333333,104.85,102.408333333333
1983-05-15,162,115.666666666667,104.65,102.633333333333
1983-06-15,184,114.333333333333,105.05,102.691666666667
1983-07-15,235,111.416666666667,105.3,102.966666666667
1983-08-15,211,112.5,104.15,103.15
1983-09-15,167,110.333333333333,103.3,103.191666666667
1983-10-15,115,108.083333333333,103.6,103.2
1983-11-15,36,106.25,103.95,103.15
1983-12-15,14,105.416666666667,103.783333333333,103.375
1984-01-15,19,101.166666666667,103.8,103.766666666667
1984-02-15,9,99.6666666666667,103.866666666667,104.083333333333
1984-03-15,48,98.5,103.8,104.283333333333
1984-04-15,97,98.5833333333333,103.816666666667,104.475
1984-05-15,140,100.666666666667,103.8,104.441666666667
1984-06-15,174,100.166666666667,103.95,104.166666666667
1984-07-15,184,94.25,103.75,104.416666666667
1984-08-15,193,91.8333333333333,103.983333333333,104.5
1984-09-15,153,91.5,102.983333333333,104.541666666667
1984-10-15,116,92.6666666666667,103.383333333333,104.791666666667
1984-11-15,61,94.6666666666667,103.083333333333,104.691666666667
1984-12-15,8,94.0833333333333,102.9,104.466666666667
1985-01-15,-52,96.25,102.95,104.791666666667
1985-02-15,-20,97,102.633333333333,105.058333333333
1985-03-15,44,98.25,102.6,105.508333333333
1985-04-15,111,97.3333333333333,102.633333333333,105.691666666667
1985-05-15,164,94.4166666666667,102.616666666667,106.016666666667
1985-06-15,167,97.0833333333333,102.633333333333,106.075
1985-07-15,210,102.333333333333,102.3,106.175
1985-08-15,202,100.166666666667,103.016666666667,106.35
1985-09-15,168,99.9166666666667,102.566666666667,106.283333333333
1985-10-15,105,100.75,102.25,106.383333333333
1985-11-15,26,101.666666666667,102.283333333333,106.633333333333
1985-12-15,40,103.083333333333,102.233333333333,106.566666666667
1986-01-15,11,102.166666666667,101.95,106.733333333333
1986-02-15,-46,102.583333333333,101.9,106.416666666667
1986-03-15,41,101.75,101.783333333333,106.308333333333
1986-04-15,121,102.333333333333,101.716666666667,106.275
1986-05-15,175,105,101.483333333333,106.025
1986-06-15,184,102.416666666667,101.916666666667,105.9
1986-07-15,199,98.0833333333333,101.883333333333,106.075
1986-08-15,207,102.5,102.633333333333,106.108333333333
1986-09-15,158,99.8333333333333,103.4,106.216666666667
1986-10-15,112,99.0833333333333,103.683333333333,106.116666666667
1986-11-15,58,95.8333333333333,103.883333333333,106.083333333333
1986-12-15,9,95.5833333333333,103.8,106.1
1987-01-15,-41,96.6666666666667,104.233333333333,106.558333333333
1987-02-15,7,94.9166666666667,104.35,106.983333333333
1987-03-15,9,97.1666666666667,104.516666666667,106.975
1987-04-15,112,97.3333333333333,104.566666666667,107.166666666667
1987-05-15,136,97.3333333333333,104.233333333333,107.2
1987-06-15,181,99.1666666666667,104.5,107.225
1987-07-15,212,105.416666666667,105.533333333333,107.3
1987-08-15,186,108.083333333333,106.916666666667,107.683333333333
1987-09-15,185,111.25,107.883333333333,107.533333333333
1987-10-15,114,110.666666666667,107.683333333333,107.383333333333
1987-11-15,58,113,107.716666666667,107.391666666667
1987-12-15,31,113,108.033333333333,107.191666666667
1988-01-15,34,113.5,107.883333333333,106.941666666667
1988-02-15,39,115.333333333333,108.15,106.925
1988-03-15,47,113.25,107.766666666667,106.716666666667
1988-04-15,105,113,107.916666666667,106.616666666667
1988-05-15,164,110,108.616666666667,106.75
1988-06-15,181,110.75,108.083333333333,106.8
1988-07-15,218,109.333333333333,108.166666666667,106.491666666667
1988-08-15,208,110.583333333333,108.683333333333,106.425
1988-09-15,160,114.5,109.316666666667,106.333333333333
1988-10-15,111,115.25,108.95,106.283333333333
1988-11-15,22,114.25,108.1,106.125
1988-12-15,40,113.25,108.016666666667,106.283333333333
1989-01-15,17,112.583333333333,108.35,106.516666666667
1989-02-15,54,111.916666666667,108.35,106.575
1989-03-15,94,112.166666666667,108.633333333333,106.933333333333
1989-04-15,114,112.833333333333,108.416666666667,107.033333333333
1989-05-15,152,114.416666666667,108.366666666667,107.158333333333
1989-06-15,169,113.083333333333,108.25,107.325
1989-07-15,210,112.5,109.366666666667,107.75
1989-08-15,200,113.25,109.983333333333,107.975
1989-09-15,163,113.916666666667,110.966666666667,108.208333333333
1989-10-15,119,112.666666666667,110.95,107.991666666667
1989-11-15,41,113.833333333333,111.316666666667,108.1
1989-12-15,24,115.25,111.55,108.258333333333
1990-01-15,10,114.5,111.65,108.733333333333
1990-02-15,63,116,112.733333333333,109.425
1990-03-15,102,114.5,112.466666666667,109.516666666667
1990-04-15,99,114.083333333333,112.133333333333,109.525
1990-05-15,166,116.333333333333,112.166666666667,109.425
1990-06-15,186,115,111.75,109.516666666667
1990-07-15,201,115.5,111.583333333333,109.691666666667
1990-08-15,218,109,110.833333333333,109.691666666667
1990-09-15,145,107.083333333333,110.866666666667,109.533333333333
1990-10-15,114,107.083333333333,110.983333333333,109.658333333333
1990-11-15,68,103.583333333333,111.216666666667,109.675
1990-12-15,8,103,111.366666666667,109.341666666667
1991-01-15,16,104.5,111.033333333333,109.041666666667
1991-02-15,-15,103.583333333333,110.95,109.241666666667
1991-03-15,79,106.083333333333,110.883333333333,109.108333333333
1991-04-15,99,104.833333333333,110.85,108.966666666667
1991-05-15,124,103.75,110.766666666667,108.841666666667
1991-06-15,179,103.25,110.65,108.916666666667
1991-07-15,219,104.083333333333,111.15,108.833333333333
1991-08-15,207,109,110.516666666667,108.741666666667
1991-09-15,175,108.083333333333,110.466666666667,108.5
1991-10-15,99,109.083333333333,110.383333333333,108.55
1991-11-15,55,111.916666666667,110.433333333333,108.691666666667
1991-12-15,2,113.25,110.85,108.441666666667
1992-01-15,26,113.166666666667,111.266666666667,108.591666666667
1992-02-15,44,116.833333333333,111.6,108.9
1992-03-15,68,116.333333333333,111.9,109.358333333333
1992-04-15,111,115.916666666667,111.416666666667,109.125
1992-05-15,158,116.333333333333,111.966666666667,109.35
1992-06-15,195,116.666666666667,112.016666666667,109.416666666667
1992-07-15,218,116.5,111.933333333333,109.283333333333
1992-08-15,251,112.333333333333,111.933333333333,109.466666666667
1992-09-15,169,110.75,111.15,109.283333333333
1992-10-15,94,110.833333333333,111.366666666667,109.075
1992-11-15,60,112.5,111.133333333333,109.075
1992-12-15,6,112.083333333333,111,109.05
1993-01-15,24,110.416666666667,111.5,108.966666666667
1993-02-15,-6,106.416666666667,111.233333333333,109.2
1993-03-15,49,105.333333333333,111.3,109.308333333333
1993-04-15,112,106.583333333333,111.4,109.466666666667
1993-05-15,178,103,110.733333333333,109.441666666667
1993-06-15,190,105.25,110.6,109.6
1993-07-15,198,107.166666666667,109.916666666667,109.516666666667
1993-08-15,203,109,109.8,109.541666666667
1993-09-15,156,112.5,108.9,109.475
1993-10-15,109,112.25,108.983333333333,109.491666666667
1993-11-15,17,110.333333333333,109.583333333333,109.575
1993-12-15,33,110.666666666667,109.816666666667,109.2
1994-01-15,47,113.75,109.316666666667,109.141666666667
1994-02-15,16,115.166666666667,109.133333333333,108.808333333333
1994-03-15,91,117.25,108.366666666667,108.683333333333
1994-04-15,109,115.666666666667,108.683333333333,108.75
1994-05-15,155,120.416666666667,109.016666666667,108.825
1994-06-15,194,119.916666666667,108.633333333333,108.958333333333
1994-07-15,235,116.416666666667,107.816666666667,109
1994-08-15,220,120.333333333333,107.816666666667,108.975
1994-09-15,181,117.333333333333,107.75,109.141666666667
1994-10-15,90,117.583333333333,107.3,109.108333333333
1994-11-15,74,117.333333333333,107.383333333333,109.091666666667
1994-12-15,27,116,107.283333333333,109.058333333333
1995-01-15,5,115.666666666667,106.916666666667,108.933333333333
1995-02-15,63,114.166666666667,106.2,108.875
1995-03-15,55,111.5,106.1,108.616666666667
1995-04-15,112,114,106.016666666667,108.975
1995-05-15,152,110.166666666667,105.983333333333,109.083333333333
1995-06-15,178,107.916666666667,106.35,109.241666666667
1995-07-15,231,105.416666666667,106.35,109.183333333333
1995-08-15,202,98.3333333333333,107.566666666667,109.208333333333
1995-09-15,149,95.8333333333333,107.75,109.333333333333
1995-10-15,120,95.1666666666667,107.95,109.508333333333
1995-11-15,28,95.8333333333333,107.666666666667,109.633333333333
1995-12-15,0,97.0833333333333,107.833333333333,109.791666666667
1996-01-15,-25,93.5833333333333,108,109.725
1996-02-15,-22,93.0833333333333,108.133333333333,110.158333333333
1996-03-15,25,91.4166666666667,108.066666666667,110.15
1996-04-15,104,91.25,108.133333333333,110.183333333333
1996-05-15,160,95.1666666666667,108.383333333333,110.608333333333
1996-06-15,193,93.4166666666667,107.75,110.583333333333
1996-07-15,189,93.5833333333333,107.133333333333,110.55
1996-08-15,196,99.0833333333333,107.1,110.691666666667
1996-09-15,129,102.333333333333,106.9,110.425
1996-10-15,118,100.666666666667,107.116666666667,110.758333333333
1996-11-15,75,100.916666666667,107.216666666667,110.7
1996-12-15,-21,100.583333333333,107.066666666667,110.575
1997-01-15,-23,101.166666666667,106.733333333333,110.5
1997-02-15,44,102.166666666667,106.35,110.683333333333
1997-03-15,64,105,106.383333333333,110.783333333333
1997-04-15,84,102.583333333333,106.8,110.75
1997-05-15,163,101.166666666667,106.216666666667,110.933333333333
1997-06-15,189,105.25,106.1,111.041666666667
1997-07-15,196,109.166666666667,105.933333333333,111.075
